question,res_w_ref_i9,res_w_ref_i8,res_w_ref_i6,res_w_ref_i7,res_w_ref_i5,res_w_ref_i4,res_w_ref_i0,res_w_ref_i1,res_w_ref_i3,res_w_ref_i2,res_w_ref_i10,res_wo_ref_i8,res_wo_ref_i9,res_wo_ref_i4,res_wo_ref_i5,res_wo_ref_i7,res_wo_ref_i6,res_wo_ref_i2,res_wo_ref_i3,res_wo_ref_i1,res_wo_ref_i0,res_wo_ref_i10,res_w_ref_i9_acc,res_w_ref_i8_acc,res_w_ref_i6_acc,res_w_ref_i7_acc,res_w_ref_i5_acc,res_w_ref_i4_acc,res_w_ref_i0_acc,res_w_ref_i1_acc,res_w_ref_i3_acc,res_w_ref_i2_acc,res_w_ref_i10_acc,res_wo_ref_i8_acc,res_wo_ref_i9_acc,res_wo_ref_i4_acc,res_wo_ref_i5_acc,res_wo_ref_i7_acc,res_wo_ref_i6_acc,res_wo_ref_i2_acc,res_wo_ref_i3_acc,res_wo_ref_i1_acc,res_wo_ref_i0_acc,res_wo_ref_i10_acc,type,level
What is the actor who starred in School Spirit best known for?,Tom Nolan,Tom Nolan,Larry Linville,I do not have the information to provide a short answer without explanation.,Tom Nolan,"I apologize for the repeated errors in my previous responses. The correct answer is that there is no information provided in the given context about the actor who starred in ""School Spirit"" and what they are best known for.",Larry Linville,"I'm sorry, but I don't have access to that information.",Larry Linville,Larry Linville.,"There is no actor mentioned in the provided context who starred in ""School Spirit"".",Larry Linville,Larry Linville,Larry Linville,Larry Linville,Larry Linville,Larry Linville,surgeon Major Frank Burns,surgeon Major Frank Burns,surgeon Major Frank Burns,surgeon Major Frank Burns,Larry Linville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
Have James Agee and Nelly Sachs both won a Nobel Prize in Literature?,No.,No.,No.,Yes.,No.,Yes.,No.,Yes.,Yes.,No.,No,No.,No,No.,No.,No.,No.,No.,No.,No,No.,No,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,medium
"Which film director is younger, Del Lord or Wang Xiaoshuai?",Wang Xiaoshuai,Wang Xiaoshuai,Del Lord,Wang Xiaoshuai,Wang Xiaoshuai,Del Lord,Del Lord,Del Lord,Wang Xiaoshuai,Wang Xiaoshuai,Wang Xiaoshuai,Wang Xiaoshuai,Wang Xiaoshuai,Del Lord,Del Lord,Del Lord,Wang Xiaoshuai,Del Lord,Wang Xiaoshuai,Del Lord,Del Lord,Wang Xiaoshuai,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,comparison,hard
"What is the given name of the creator of the Album released on July 7, 2017 by Slaughter Gang and Epic Records?",21 Savage,21 Savage,Shayaa Bin Abraham-Joseph,21 Savage,Shayaa Bin Abraham-Joseph.,21 Savage,Shayaa Bin Abraham-Joseph,Shayaa Bin Abraham-Joseph.,21 Savage,Shayaa Bin Abraham-Joseph.,21 Savage,21 Savage,21 Savage,21 Savage,21 Savage,21 Savage,Shayaa Bin Abraham-Joseph,Shayaa Bin Abraham-Joseph,Shayaa Bin Abraham-Joseph,Shayaa Bin Abraham-Joseph,Shayaa Bin Abraham-Joseph,21 Savage,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
What is the name of the business that George Dayton founded and later Bruce Dayton expanded?,Dayton's,Dayton's,Dayton's,Dayton's,Dayton's.,Dayton's,Target Corporation,Dayton's,Dayton's,Dayton's,Dayton's,Dayton's,Dayton's,Target Corporation,Dayton's,Dayton's,Dayton's,Target Corporation,Target Corporation,Target Corporation,Target Corporation,Dayton's,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
"What British rock band is responsible for bolstering Quiet Riot's hit ""Mental Health?""",Slade,Slade,Slade,Def Leppard,Def Leppard,Def Leppard,Def Leppard,Slade,Def Leppard,Def Leppard,Slade,Slade,Def Leppard,Def Leppard,Slade,Slade,Def Leppard,Def Leppard,Slade,Slade,Slade,Def Leppard,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,bridge,hard
"Johanna Veenstra (1894–1933) was the first missionary of the Christian Reformed Church (CRC) to go to Nigeria,   was an ocean liner designed by Leonard Peskett and built by Swan, Hunter & Wigham Richardson for the British Cunard Line, on October 2, 1919, she left New York City on the RMS Mauretania, was an ocean liner designed by Leonard Peskett, and built by Swan, Hunter & Wigham Richardson, for which organization?",Christian Reformed Church (CRC),Christian Reformed Church (CRC),Christian Reformed Church (CRC),Christian Reformed Church (CRC),Christian Reformed Church (CRC),Christian Reformed Church (CRC),British Cunard Line,Christian Reformed Church (CRC),British Cunard Line,British Cunard Line.,Christian Reformed Church (CRC),Christian Reformed Church (CRC),Christian Reformed Church (CRC),Christian Reformed Church (CRC),Christian Reformed Church (CRC),Christian Reformed Church (CRC),Christian Reformed Church (CRC),British Cunard Line,Christian Reformed Church (CRC),Christian Reformed Church (CRC),British Cunard Line,Christian Reformed Church (CRC),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,bridge,easy
Were Serguei Kouchnerov and Arvid E. Gillstrom both in the same industry?,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No,No.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comparison,medium
What film title does J. F. Lawton and Shawn Levy have in common?,"The film title that J. F. Lawton and Shawn Levy have in common is ""Shrek"".",Big Fat Liar,Shrek,Pretty Woman,None.,Big Fat Liar,None.,None.,There is no film title that J. F. Lawton and Shawn Levy have in common.,They do not have a film title in common.,Shrek,producer,Shrek,producer,producer,Shrek,Shrek,producer,Under Siege,producer,producer,Night at the Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,comparison,hard
"What number post-Beatles album of Paul McCartney did ""No Words""  appear on?",Third,Third.,third,Third,Third.,third,third,Third.,third,third,Third.,Third.,Third.,Seventh,Sixth,Third,Eighth,fifth,fifth,fifth,fifth,Sixth.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
"Downton is a civil parish in Herefordshire, located in the north of the county and containing the village of Downton-on-the-Rock, in which manuscript record of the ""Great Survey"" of much of England and parts of Wales completed in 1086, Downton is referred to as ""Duntune"", meaning ""hill settlement""?",Domesday Book,Domesday Book,Domesday Book,Domesday Book,Domesday Book,Domesday Book.,Domesday Book,Domesday Book,Domesday Book,Domesday Book.,Domesday Book.,Domesday Book,Domesday Book,Domesday Book.,Domesday Book,Domesday Book.,Domesday Book,Domesday Book,Domesday Book,Domesday Book,Domesday Book,Domesday Book.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,easy
"In addition to A Bayou Legend, how many other works did William Grant Still compose?",206,Over 200.,More than 200.,Over 200,More than 200.,Over 200.,"more than 150 works, including five symphonies and eight operas.",Over 150.,More than 200.,More than 150 works.,Over 200,"More than 150 works, including five symphonies and eight operas.",Over 200.,More than 200.,Over 200.,More than 200.,Over 200.,"more than 150 works, including five symphonies and eight operas.","more than 150 works, including five symphonies and eight operas.","more than 150 works, including five symphonies and eight operas.","more than 150 works, including five symphonies and eight operas.",Over 200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,easy
"Andover, located in Essex County, Massachusetts, is an example of a basic unit of local government and local division of state authority in each of the six New England states, commonly referred to in other states as what?",Town.,towns,Towns,Town,towns,towns,towns,town,town,towns,Town,Town,towns,towns,towns,town,towns,towns,towns,towns,cities,towns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bridge,easy
"Mfon Sunday Udoka, is a Nigerian American former professional basketball player and the new Assistant Coach of the Nigeria women's national basketball team the Lady Tigers, she's the sister of NBA player Ime Sunday Udoka, a Nigerian-American former professional basketball player, and current assistant coach for the San Antonio Spurs, of which organization?",San Antonio Spurs,San Antonio Spurs,San Antonio Spurs.,San Antonio Spurs.,San Antonio Spurs,San Antonio Spurs.,National Basketball Association (NBA),San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs.,San Antonio Spurs.,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs.,San Antonio Spurs.,National Basketball Association (NBA),National Basketball Association (NBA),National Basketball Association (NBA),San Antonio Spurs.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,bridge,easy
Which happened first Battle of Okinawa or Operation Nordwind ?,Battle of Okinawa,Battle of Okinawa,Battle of Okinawa,Battle of Okinawa.,Battle of Okinawa.,Battle of Okinawa,Battle of Okinawa,Battle of Okinawa,Battle of Okinawa.,Battle of Okinawa,Battle of Okinawa,Battle of Okinawa,Battle of Okinawa,Battle of Okinawa,Battle of Okinawa,Battle of Okinawa,Battle of Okinawa,Battle of Okinawa,Battle of Okinawa,Battle of Okinawa.,Operation North Wind,Battle of Okinawa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,comparison,hard
"What type od dance music inspired the band, ""The Kabalas""?",Klezmer,Klezmer,Klezmer,Klezmer,Klezmer,Klezmer,Polka,Polka,Klezmer,Polka,Klezmer,Traditional Eastern European Klezmer,Klezmer,Klezmer,Klezmer,Klezmer,Klezmer,Polka,Polka,Klezmer,Polka,Klezmer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,bridge,hard
Who is the artist of The Scarlet Letter and debdebuted on the music scene as Missy Elliott's protégée?,Lil' Mo,Lil' Mo,Lil' Mo,Lil' Mo,Lil' Mo,Lil' Mo,Lil' Mo,Lil' Mo,Lil' Mo,Lil' Mo,Lil' Mo,Lil' Mo,Lil' Mo,Cynthia Karen Loving,Lil' Mo,Lil' Mo,Lil' Mo,Lil' Mo,Lil' Mo,Lil' Mo,Cynthia Karen Loving,Lil' Mo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bridge,hard
"What was the royal title of the man whose German government backed the colonization of Poland by German settlers, one ofthe factors leading to the plight of rural Poland which was the focus of the novel The Outpost?",No royal title mentioned.,Wilhelm II,Otto von Bismarck,No specific royal title mentioned in the context.,Otto von Bismarck,Otto von Bismarck,Otto von Bismarck,Otto von Bismarck,Otto von Bismarck,Otto von Bismarck,Kaiser Wilhelm II.,"Prince of Bismarck, Duke of Lauenburg",Prince of Bismarck,"Prince of Bismarck, Duke of Lauenburg",Prince of Bismarck,"Prince of Bismarck, Duke of Lauenburg","Prince of Bismarck, Duke of Lauenburg","Prince of Bismarck, Duke of Lauenburg","Prince of Bismarck, Duke of Lauenburg","Prince of Bismarck, Duke of Lauenburg","Prince of Bismarck, Duke of Lauenburg",King Alfonso XII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
 What nationality was James Henry Miller's wife?,Unknown.,Unknown,Unknown.,Unknown.,Unknown,Unknown,Unknown,Unknown,Unknown.,Unknown.,Unknown,Unknown,Unknown.,Unknown.,Unknown.,Unknown,Unknown.,American,American,American,American,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",El-P,El-P,El-P,El-P,El-P,El-P,El-P,El-P,El-P,El-P,El-P,El-P,El-P,El-P,El-P,El-P,El-P,Jaime Meline,El-P,El-P,El-P,El-P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bridge,medium
Where did the form of music played by Die Rhöner Säuwäntzt originate?,Germany,Germany,Germany,Germany,Germany,Germany,"Eichenzell-Lütter, Germany.",Germany.,Germany,Germany,Germany.,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,United States,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bridge,medium
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?",California.,California,California,California.,California,California,California,California,California,California,California.,California,California,California,California,California,Hawaii,Hawaii,California.,Hawaii,Hawaii,California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,bridge,medium
Where is the company that purchased Aixam based in?,United States,United States.,United States,United States,United States.,United States.,USA,United States.,United States.,United States.,United States.,US.,US,United States.,"Roseau, Minnesota, USA",United States.,US,"Roseau, Minnesota, USA","Roseau, Minnesota, USA","Roseau, Minnesota, USA","Roseau, Minnesota, USA",US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,medium
Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,The Chimes,The Chimes (album),The Chimes (album),The Chimes (album),The Chimes,The Chimes.,The Chimes,The Chimes,The Chimes (album),The Chimes.,The Chimes,The Chimes (album),The Chimes,The Chimes (album),The Chimes (album),The Chimes (album),The Chimes,The Chimes,The Chimes,The Chimes,The Joshua Tree,The Chimes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bridge,medium
Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?,The Namesake.,The Namesake,Salaam Bombay,Mississippi Masala,Salaam Bombay,Salaam Bombay,Salaam Bombay,Salaam Bombay,Salaam Bombay,Salaam Bombay,The Namesake.,The Namesake.,The Namesake,Salaam Bombay,Salaam Bombay,The Namesake,Salaam Bombay,The Namesake,Salaam Bombay,Salaam Bombay,Salaam Bombay,The Namesake.,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,bridge,medium
"The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?",Zooey Deschanel,Jane Alexander,Zooey Deschanel,Zooey Deschanel,Paul Dano,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,Zooey Deschanel,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,medium
According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?,"700,000","722,664","722,664",Unknown.,"722,664","700,000","722,664","722,664","The population of the city in which James Iroha Uchechukwu was born is 722,664.","722,664","The population of the city in which James Iroha Uchechukwu was born is 722,664.","The population of the city in which James Iroha Uchechukwu was born is 722,664.","722,664","The population of the city in which James Iroha Uchechukwu was born according to the 2006 census is 722,664.",The population of the city in which James Iroha Uchechukwu was born is not mentioned in the provided information.,The population of the city in which James Iroha Uchechukwu was born is not mentioned in the given context.,"722,664","722,664","722,664","722,664","722,664",Unknown,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown,Unknown,Unknown,Unknown.,Unknown.,Unknown.,Unknown,Unknown.,Unknown.,Unknown.,Unknown,Less than 1%.,17%,17%,Unknown.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,bridge,medium
The Thoen Stone is on display at a museum in what county?,Lawrence County.,Lawrence County.,Lawrence County,Lawrence County,Lawrence County,Lawrence County,Lawrence County,Lawrence County,"Deadwood, South Dakota.",Lawrence County,Lawrence County.,Deadwood.,Lawrence County,Lawrence County.,Lawrence County,Lawrence County.,Lawrence County.,Lawrence County,Lawrence County.,Lawrence County,Lawrence County,Clay County,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
"What book contains a poem which, along with ""Beowulf"" and the ""Anglo-Saxon Chronicle"", preserves a legendary list of the kings of the Angles?",Widsith,Widsith,Widsith,Widsith,Widsith,Widsith,Exeter Book,Exeter Book,Widsith,Exeter Book,Widsith,Widsith,Widsith,Exeter Book,Widsith,Widsith,Widsith,Exeter Book,Widsith,Exeter Book,Exeter Book,Widsith,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,bridge,medium
Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?,Lieutenant Schneider,Lieutenant Schneider,Field Marshal Erwin Rommel.,the Desert Fox,Erwin Rommel,the Desert Fox,the Desert Fox,the Desert Fox,the Desert Fox,the Desert Fox,Lieutenant Schneider.,Lieutenant Schneider.,Lieutenant Schneider.,the Desert Fox,the Desert Fox,the Desert Fox,the Desert Fox,the Desert Fox,the Desert Fox,the Desert Fox,the Desert Fox,Lieutenant Schneider.,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
 Teri W. Odom is a member of a scientific journal first published in 2007 by who?,South Korean Chemical Society,Wiley-VCH,the American Chemical Society,the South Korean Chemical Society,the American Chemical Society,the American Chemical Society,the American Chemical Society,the American Chemical Society,the American Chemical Society,the American Chemical Society,Wiley-VCH,Wiley-VCH,Wiley-VCH,the American Chemical Society,Wiley-VCH,Wiley-VCH,Wiley-VCH,the American Chemical Society,the American Chemical Society,the American Chemical Society,the American Chemical Society,Wiley-VCH,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
La Barredora was a gang that declared war on the leader of the cartel based where?,Beltrán Leyva Cartel,Acapulco,Acapulco,Independent Cartel of Acapulco,Acapulco,Acapulco,"Acapulco, Guerrero.",Acapulco.,Acapulco,Acapulco.,Independent Cartel of Acapulco.,Acapulco.,Beltrán Leyva Cartel,Acapulco,Beltrán Leyva Cartel,Acapulco.,Beltrán Leyva Cartel,Acapulco,Beltrán Leyva Cartel,Acapulco,Sinaloa,Beltrán Leyva Cartel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bridge,medium
What year did the chairman of the Jenkins Commission die?,2003,2003,1997,2003,1997,2003,2003,2003,2003,2003,2003,1997,1997,2003,1997,2003,1997,2003,2003,2003,2003,1997,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
What nationality was a  historical drama film directed by?,Italian,Italian,Argentine,British,German,Argentine.,Argentine.,Argentine,Argentine,Argentine,German,French,French-Italian,Italian,Argentine,Italian,Italian,Italian,Italian,Italian,Italian,Italian,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bridge,medium
"Gelatine was an airship piloted on September 19, 1905 by a pioneer American aviator and what?",Lincoln J. Beachey,Lincoln J. Beachey,Lincoln J. Beachey,Thomas Scott Baldwin,Lincoln J. Beachey,Lincoln J. Beachey,"The specific aviator who piloted the Gelatine airship on September 19, 1905 is not mentioned.",Lincoln J. Beachey,Thomas Scott Baldwin,"The specific aviator who piloted the Gelatine airship on September 19, 1905 is not mentioned in the provided context.",Thomas Scott Baldwin,Lincoln J. Beachey,Lincoln J. Beachey,barnstormer,barnstormer,Lincoln J. Beachey,Lincoln J. Beachey,barnstormer,barnstormer,barnstormer,barnstormer,Lincoln J. Beachey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
Who directed a film that included Sarah Manninen?,Greg White,Stuart Gillard,Greg White,Stuart Gillard,Greg White,Stuart Gillard,Greg White,Greg White,Greg White,Greg White,Greg White,Martha Coolidge,Greg White,Greg White,Martha Coolidge,Martha Coolidge,Greg White,Martha Coolidge,Martha Coolidge,Martha Coolidge,Martha Coolidge,Greg White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
"At the 2011 census, what was he population of the city where Kerry Saxby-Junna was born?","7,300","7,300","6,960","7,300","6,960","6,960","6,960.","6,960","6,960","6,960","7,300",The population of the city where Kerry Saxby-Junna was born is not mentioned in the provided information.,The population of the city where Kerry Saxby-Junna was born was not mentioned in the provided context.,"6,960","Young, New South Wales: 6,960","6,960","6,960","6,960","6,960","6,960","6,960",The population of the city where Kerry Saxby-Junna was born was not provided in the given context.,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
 Marion is approximately 50 mi north of a city that is the third-most populous what in the U.S.?,Columbus,Columbus,Columbus,"Columbus, Ohio.",Columbus,Columbus,Columbus,city,Columbus,"Columbus, Ohio.",Columbus,"Columbus, Ohio.",state capital,state capital,Columbus,"Columbus, Ohio.","Columbus, Ohio.",state capital,state capital,state capital,state capital,Columbus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
Jayantabhai Ki Luv Story includes a lead role for the film actress and model who is a native of what city?,Bhagalpur,Bihar,Bhagalpur,Bhagalpur,Bihar,Bhagalpur,Bhagalpur,Bhagalpur,Bhagalpur,Bhagalpur,Bhagalpur,Bhagalpur,Bhagalpur,Bhagalpur,Bhagalpur,Bhagalpur,Bhagalpur,Bhagalpur,Bhagalpur,Bhagalpur,Bihar,Bhagalpur,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bridge,medium
"Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team, and who else?",There is no mention of any other German professional footballer who plays for the German national team in the given context.,Mats Hummels,Mats Hummels.,Mats Hummels,Mats Hummels,Mats Hummels,Mats Hummels,Mats Hummels,Mats Hummels,Mats Hummels,There is no mention of any other sibling or individual in relation to Jonas Hummels in the provided context.,Mats Hummels,Mats Hummels,Mats Hummels,Mats Hummels,Mats Hummels,Mats Hummels,Mats Hummels,Mats Hummels,Bayern Munich,Bayern Munich,Mats Hummels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,bridge,medium
What nationality is the actress who played the role of Sam Sloan's wife Trudy in the sitcom The Single Guy ?,English,American,English,American,English,American,American,American,American,American,English,American,Unknown,American.,Unknown,Ming-Na Wen is an American actress.,Chinese,Ming-Na Wen is American.,American,American,American,Chinese,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
Joh Bruce Yeh founded a chamber ensemble who won a Grammy in 1985 for their recording of this work based on what Rusian folk tale?,The Runaway Soldier and the Devil,The Runaway Soldier and the Devil,The Runaway Soldier and the Devil,The Runaway Soldier and the Devil,The Runaway Soldier and the Devil,The Runaway Soldier and the Devil,The Runaway Soldier and the Devil,The Runaway Soldier and the Devil,There is no information in the original context that suggests John Bruce Yeh founded a chamber ensemble that won a Grammy in 1985 for their recording of any work based on a Russian folk tale.,The Runaway Soldier and the Devil,My apologies for any confusion caused. I cannot find any information to suggest that John Bruce Yeh founded a chamber ensemble that won a Grammy in 1985 for their recording of a work based on a Russian folk tale.,"""L'Histoire du soldat""",L'Histoire du soldat,The Runaway Soldier and the Devil,The Runaway Soldier and the Devil,L'Histoire du soldat,L'Histoire du soldat,The Runaway Soldier and the Devil,"""L'Histoire du soldat""",The Runaway Soldier and the Devil,The Runaway Soldier and the Devil,L'Histoire du soldat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,bridge,medium
What was the year founded of the football team that Aaron Galindo is currently a part of?,1928,No information is given about the year the football team that Aaron Galindo is currently a part of was founded.,1928,1928,1928,1928,1928,1928,1928,1928,1928,1938,No information is available about the football team Aaron Galindo is currently a part of.,1928,1938,1995,1995,1928,1928,1928,1928,1995,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
