question,extracted_sentences
"Gelatine was an airship piloted on September 19, 1905 by a pioneer American aviator and what?","['Gelatine was an airship operated by the United States Army Signal Corps.', ' On the morning of September 19, 1905, the ""Gelatine"", piloted by Lincoln J. Beachey, ascended from the grounds of the Lewis and Clark Centennial Exposition on the shores of Guild\'s Lake in Portland, Oregon, landing 40 minutes later at the Vancouver Barracks in Vancouver, Washington.', 'Lincoln J. Beachey (March 3, 1887 – March 14, 1915) was a pioneer American aviator and barnstormer.']"
Who directed a film that included Sarah Manninen?,"['Sarah Manninen (born November 6, 1976 in Waterloo, Ontario) is a Canadian film, television and stage actress, better known for her appearances on film ""The Prince and Me"" and series ""The Line"".', 'The Prince and Me is a 2004 romantic comedy film directed by Martha Coolidge, and starring Julia Stiles, Luke Mably, and Ben Miller, with Miranda Richardson, James Fox, and Alberta Watson.']"
"At the 2011 census, what was he population of the city where Kerry Saxby-Junna was born?","[' She was born in Young, New South Wales and grew up in Ballina, New South Wales.', ' At the 2011 census , Young had a population of 6,960.']"
 Marion is approximately 50 mi north of a city that is the third-most populous what in the U.S.?,"['Marion is a city in and the county seat of Marion County, Ohio, United States.', 'Columbus ( ) is the capital and largest city of the U.S. state of Ohio.', ' This makes Columbus the third-most populous state capital in the United States, and the second-largest city in the Midwestern United States, after Chicago.']"
Jayantabhai Ki Luv Story includes a lead role for the film actress and model who is a native of what city?,"[' The film stars Vivek Oberoi opposite Neha Sharma in lead roles.', 'Neha Sharma (] ; born 21 November 1987) is an Indian film actress and model.', ' A native of Bihar, Sharma attended the Mount Carmel School in Bhagalpur and pursued a course in fashion design from the National Institute of Fashion Technology (NIFT) in New Delhi.']"
"Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team, and who else?","[' He is the younger brother of German international Mats Hummels, and the son of Hermann Hummels, a former footballer and manager.', 'Mats Julian Hummels (] ; born 16 December 1988) is a German professional footballer who plays as a central defender for Bayern Munich and the Germany national team.']"
What nationality is the actress who played the role of Sam Sloan's wife Trudy in the sitcom The Single Guy ?,"["" The series also starred Joey Slotnick as Eliot's best friend Sam Sloan, Ming-Na Wen as Sam's wife Trudy and Ernest Borgnine as doorman Manny, throughout its entire run."", 'Ming-Na Wen (; born November 20, 1963) is an American actress.']"
Joh Bruce Yeh founded a chamber ensemble who won a Grammy in 1985 for their recording of this work based on what Rusian folk tale?,"['John Bruce Yeh (born 1957) is an American clarinetist.', ' Yeh is the founder and director of the chamber ensemble, Chicago Pro Musica, whose first recording, Stravinsky\'s ""L\'Histoire du soldat"", won the 1985 Grammy Award for the Best New Classical Artist.', 'L\'Histoire du soldat (The Soldier\'s Tale) is a theatrical work ""to be read, played, and danced"" (""lue, jouée et dansée "") by three actors and one or several dancers, accompanied by a septet of instruments.', ' The piece was conceived by Igor Stravinsky and Swiss writer C. F. Ramuz based on a Russian folk tale (""The Runaway Soldier and the Devil"") drawn from the collection of Alexander Afanasyev.']"
What was the year founded of the football team that Aaron Galindo is currently a part of?,"['Aarón Galindo Rubio (born 8 May 1982 in Mexico City, Mexico) is a Mexican football center back, who is playing for C.D. Toledo in Spain.', 'Club Deportivo Toledo, S.A.D. is a Spanish football team based in Toledo, in the autonomous community of Castile-La Mancha.', ' Founded in 1928 it plays in Segunda División B – Group 1, holding home games at ""Estadio Salto del Caballo"", with a seating capacity of 5,300 spectators.']"
Emma Rose Kenney's roll in a Blue Sky Studios produced film earned how much money?,"['Emma Rose Kenney (born September 14, 1999) is an American actress known for her roles in ""Epic"" (2013), ""Shameless"" (2011–present) as Debbie , and ""Bittersweet"" (2008).', 'Epic (stylized as epic) is a 2013 American 3D computer-animated action-adventure film loosely based on William Joyce\'s children\'s book ""The Leaf Men and the Brave Good Bugs"".', ' It was produced by Blue Sky Studios, written by William Joyce, James V. Hart, Daniel Shere, Tom J. Astle and Matt Ember and directed by Chris Wedge, the director of ""Ice Age"" (2002) and ""Robots"" (2005).', ' ""Epic"" received mixed reviews from critics and earned $268 million on a $93 million budget.']"
The Colts' first ever draft pick was a halfback who won the Heisman Trophy in what year?,"[' The first draft that the current incarnation of the Colts franchise participated in was 1953, in which they made halfback Billy Vessels of Oklahoma their first ever selection.', ' He played college football at the University of Oklahoma and won the Heisman Trophy in 1952.']"
What was the 2011 population of the unitary authority area that includes the village Eastoft?,"['Eastoft is a village and civil parish in North Lincolnshire, England.', ' The population of the Unitary Authority at the 2011 census was 167,446.']"
Who released the album with a single which originally reached number 60 on the UK Singles Chart in 1997?,"['When I Was Born for the 7th Time is the third studio album by the British indie rock band Cornershop, released on 8 September 1997 by Wiiija.', ' The album received high acclaim from music critics and features the international hit single ""Brimful of Asha"".', '""Brimful of Asha"" is a 1997 single by British alternative rock band Cornershop.', ' The recording originally reached number 60 on the UK Singles Chart in 1997.']"
Wayne's World featured the actor who was a member of what Chicago comedy troupe?,"["" It also features Rob Lowe, Tia Carrere, Lara Flynn Boyle, Brian Doyle-Murray, Chris Farley, Ed O'Neill, Ione Skye, Meat Loaf, and Alice Cooper."", ' Farley was known for his loud, energetic comedic style, and was a member of Chicago\'s Second City Theatre and later a cast member of the NBC sketch comedy show ""Saturday Night Live"" between 1990 and 1995.']"
"Who released their second album with a band from Louisville, Kentucky?","['Fingerlings 2 is the second album in a series of live releases by Andrew Bird.', ' Self-released in 2004, it features appearances by My Morning Jacket and Nora O\'Connor as well as five live renditions of tracks featured on Bird\'s 2005 release ""The Mysterious Production of Eggs"".', 'My Morning Jacket is an American rock band formed in Louisville, Kentucky in 1998.']"
"The university who was led to six national championships by Paul ""Bear"" Bryant, had its first ever Heisman Trophy winner drafted by what NFL team?","[' From 1958 to 1982, the team was led by Hall of Fame coach Paul ""Bear"" Bryant, who won six national championships with the program.', 'Mark Ingram Jr. (born December 21, 1989) is an American football running back for the New Orleans Saints of the National Football League (NFL).']"
Where is the company based that sold Vodafone it's New Zealand operations?,"["" It is New Zealand's largest mobile phone operator, based in Auckland, and was formed in 1998, after Vodafone purchased BellSouth's New Zealand operations."", 'BellSouth Corporation (stylized as ""BELLSOUTH"") was an American telecommunications holding company based in Atlanta, Georgia.']"
Silent Möbius is heavily influenced by the movie directed by whom?,"[' It is heavily influenced by the film ""Blade Runner"" and is centered on the lives of a dedicated group of all-female police officers with protecting Tokyo from an invasion of extra-dimensional creatures called Lucifer Hawks.', 'Blade Runner is a 1982 American neo-noir science fiction film directed by Ridley Scott and starring Harrison Ford, Rutger Hauer, Sean Young, and Edward James Olmos.']"
Maurice Hines and his brother were famous for what?,"['Hot Feet is a jukebox musical featuring the music of Earth, Wind & Fire, a book by Heru Ptah and was conceived, directed, and choreographed by Maurice Hines.', ' He is the brother of dancer Gregory Hines.']"
"Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?","['Prince William, Duke of Gloucester (24 July 1689 – 30 July 1700 ) was the son of Princess Anne, later Queen of England, Ireland and Scotland from 1702, and her husband, Prince George, Duke of Cumberland.', 'Prince George of Denmark and Norway, Duke of Cumberland (Danish: ""Jørgen"" ; 2 April 165328 October 1708), was the husband of Queen Anne, who reigned over Great Britain from 1702.']"
What type of vegetation does Kniphofia and Baptisia have in common?,"['Kniphofia , also called tritoma, red hot poker, torch lily, knofflers or poker plant, is a genus of flowering plants in the family Asphodelaceae, first described as a genus in 1794.', ' They are flowering herbaceous perennial plants with pea-like flowers, followed by pods, which are sometimes inflated.']"
The Pineground Bridge formerly carried Depot Road over the Suncook River into a town with a population of what?,"['The Pineground Bridge, also known as the Depot Road Bridge or the Thunder Bridge, is a through-type lenticular truss bridge that formerly carried Depot Road over the Suncook River in Chichester, New Hampshire.', 'Chichester is a town in Merrimack County, New Hampshire, United States.', ' The population was 2,523 at the 2010 census.']"
"Which city is the American rock band, that released their album on March 19, 2012, from?","['Port of Morrow is the fourth studio album by American rock band The Shins.', ' The album was released March 19, 2012, on Aural Apothecary and Columbia Records and was co-produced by Greg Kurstin and frontman James Mercer.', 'The Shins are an American indie rock band from Albuquerque, New Mexico, formed in 1996.']"
"Which tennis player has received a higher World singles ranking, Xavier Malisse or Virginia Wade?","[' Born in the north-western Flemish city of Kortrijk and nicknamed ""X-Man"", he is only one of two players from Belgium (the other being David Goffin) to have been ranked in the top 20 of the ATP tour, with a career-high singles ranking of World No. 19.', 'Sarah Virginia Wade, (born 10 July 1945) is a former professional tennis player from Great Britain.', ' She was ranked as high as No. 2 in the world in singles, and No. 1 in the world in doubles.']"
When was the  Prime Minister of India after which V. K. Krishna Menon was regarded as the second most powerful man in India born?  ,"['Vengalil Krishnan Krishna Menon (3 May 1896 – 6 October 1974) was an Indian nationalist, diplomat and politician, described by some as the second most powerful man in India, after his ally, 1st Prime Minister of India Jawaharlal Nehru.', 'Jawaharlal Nehru ( ; ; 14 November 1889 – 27 May 1964) was the first Prime Minister of India and a central figure in Indian politics before and after independence.']"
Robinsons and Pocari Sweat are both what kind of product?,"['Robinsons is an English fruit drink brand owned by Britvic.', 'Pocari Sweat (ポカリスエット , Pokari Suetto ) is a Japanese sports drink, manufactured by Otsuka Pharmaceutical It was launched in 1980, and is now also available in East Asia, Southeast Asia, and the Middle East.']"
 Is Advanced Micro Devices or Level 3 Communications headquartered further west?,"['Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Sunnyvale, California, United States, that develops computer processors and related technologies for business and consumer markets.', 'Level 3 Communications is an American multinational telecommunications and Internet service provider company headquartered in Broomfield, Colorado.']"
"Yukio Mishima and Roberto Bolaño, are Chilean?","['Yukio Mishima (三島 由紀夫 , Mishima Yukio ) is the pen name of Kimitake Hiraoka (平岡 公威 , Hiraoka Kimitake , January 14, 1925November 25, 1970) , a Japanese author, poet, playwright, actor, and film director.', 'Roberto Bolaño Ávalos (] ; 28 April 1953 – 15 July 2003) was a Chilean novelist, short-story writer, poet and essayist.']"
"Which was halted by a natural disaster, Camlaren Mine or Barton Mine?","[' Conditions attributed to World War II halted development at Camlaren in 1939.', 'Barton Mine, also known as Net Lake Mine, is an abandoned surface and underground mine in Northeastern Ontario, Canada.', ' Barton was the site of a fire in the early 1900s, after which it never had active mining again.']"
What two skills do Lee Hong-gi and Dee Snider have in common?,"['Lee Hong-gi (; ] ; Japanese:イ•ホンギ) is a South Korean singer-songwriter, actor, writer, and fashion designer.', 'Daniel ""Dee"" Snider (born March 15, 1955) is an American singer-songwriter, screenwriter, radio personality, and actor.']"
Do filmmakers Chris Carter and Theo van Gogh share the same nationality?,"['Christopher Carl Carter (born October 13, 1956) is an American television and film producer, director and writer.', 'Theodoor ""Theo"" van Gogh (] ; 23 July 19572 November 2004) was a Dutch film director, film producer, television director, television producer, television presenter, screenwriter, actor, critic and author.']"
Mike Gibbons won the middleweight championship after the previous champion was found murdered where?,"['Mike Gibbons (July 20, 1887 in St. Paul, Minnesota – August 31, 1956) was an American boxer from 1908 to 1922.', "" The brother of heavyweight Tommy Gibbons, Mike claimed Middleweight Champion of the World status in 1909 following Stanley Ketchel's murder."", ' He was murdered at a ranch in Conway, Missouri, at the age of 24.']"
What connection does the private liberal arts college known for its distinctive curriculum centered on reading and discussing the Great Books of Western Civilization have to] EnVISIONing Annapolis? ,"[' Important contributors and co-sponsors include the University of Maryland, Annapolis Charter 300, and St. Johns College.', ""St. John's College is a private liberal arts college known for its distinctive curriculum centered on reading and discussing the Great Books of Western Civilization.""]"
Are San Diego International Airport and McCarran International Airport located in the same state?,"['San Diego International Airport (IATA: SAN, ICAO: KSAN, FAA LID: SAN) , formerly known as Lindbergh Field, is an international airport 3 mi northwest of Downtown San Diego, California, United States.', 'McCarran International Airport (IATA: LAS, ICAO: KLAS, FAA LID: LAS) is the primary commercial airport serving the Las Vegas Valley, a major metropolitan area in the U.S. state of Nevada.']"
"Where are the metalcore band from, that released second full-length album titled Rage?","['Rage is the second full-length album by American metalcore band Attila.', 'Attila is an American metalcore band from Atlanta, Georgia, formed in 2005.']"
What professor of mathematics authored the book Fashionable Nonsense?,"['Fashionable Nonsense: Postmodern Intellectuals\' Abuse of Science (French: ""Impostures Intellectuelles"" ), published in the UK as Intellectual Impostures, is a book by physicists Alan Sokal and Jean Bricmont.', 'Alan David Sokal ( ; born January 24, 1955) is a professor of mathematics at University College London and professor of physics at New York University.']"
What tribe what American Horse a part of?,"[' His daring ride of 350 miles in six days to carry dispatches to Fort Laramie for the ""New York Herald"", to tell the news of the great victory by Gen. George Crook against the village of Chief American Horse at the Battle of Slim Buttes during the Great Sioux War of 1876-1877, made him a national celebrity.', 'American Horse (Oglala Lakota: ""Wašíčuŋ Tȟašúŋke"" in Standard Lakota Orthography) (a/k/a ""American Horse the Elder"") (1830–September 9, 1876) was an Oglala Lakota warrior chief renowned for Spartan courage and honor.']"
"On which station could you have watched the actor from ""My Fair Lady"" play a character in ""I Can Hear Your Voice""? ","['Yoon Sang-hyun (born September 21, 1973) is a South Korean actor and singer.', ' He is best known for his roles in ""Queen of Housewives"" (2009), ""My Fair Lady"" (2009), ""Secret Garden"" (2011) and ""I Can Hear Your Voice"" (2013).', 'I Can Hear Your Voice () is a 2013 South Korean television series starring Lee Bo-young, Lee Jong-suk, Yoon Sang-hyun and Lee Da-hee.', ' It aired on SBS from June 5 to August 1, 2013, on Wednesdays and Thursdays at 21:55 for 18 episodes.']"
"Steve Jones and Blag Dahlia, have which occupation in common?","['Stephen ""Steve"" Philip Jones (born 3 September 1955) is an English rock guitarist, singer and actor, best known as a guitarist with the Sex Pistols.', 'Paul Cafaro (born May 8, 1966), better known by the stage name Blag Dahlia, is an American singer, musician, producer, and author.']"
"This American actor who starred in ""Veep"" was also in an action comedy film directed by Seth Rogen and Evan Goldberg heavily inspired by what?","['Randall Park (born March 23, 1974) is an American actor, comedian, writer, and director.', ' He played Kim Jong-Un in the 2014 film ""The Interview"", Minnesota governor Danny Chung in ""Veep"", and beginning in 2015 he portrayed Eddie Huang\'s father, American restaurateur Louis Huang, in ABC\'s television show ""Fresh Off the Boat"".', 'The Interview is a 2014 American action comedy film directed by Seth Rogen and Evan Goldberg.', ' The film is also heavily inspired by a Vice documentary which was shot in 2012.']"
In which films does Disha Patani who starred in M.S. Dhoni: The Untold Story appear?,"['M.S. Dhoni: The Untold Story is a 2016 Indian biographical sports film written and directed by Neeraj Pandey.', ' The film stars Sushant Singh Rajput as Dhoni, along with Disha Patani, Kiara Advani, and Anupam Kher.', 'Disha Patani is an Indian film actress and model who appears in Hindi and Telugu films.']"
Are Clarence Brown and Peter Glenville of the same nationality?,"['Clarence Leon Brown (May 10, 1890 – August 17, 1987) was an American film director.', 'Peter Glenville (born Peter Patrick Brabazon Browne; 28 October 19133 June 1996) was an English film and stage actor and director.']"
"A major character in the 2000 novel ""Storm Front"" had her name changed to what when the novel series was adapted for television?","['Karrin Murphy is a major character in Jim Butcher\'s contemporary fantasy series, ""The Dresden Files"".', ' The character also appears as Connie Murphy in the television series based on the novels.', 'The Dresden Files is a series of contemporary fantasy/mystery novels written by American author Jim Butcher.', ' The first novel, ""Storm Front"", was published in 2000 by Roc Books.']"
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?","[' It is a hygroscopic solid that is highly soluble in water and slightly soluble in alcohol.', 'Ethanol, also called alcohol, ethyl alcohol, and drinking alcohol, is a compound and simple alcohol with the chemical formula C2H5OH .']"
"Human Error"" is the season finale of the third season of a tv show that aired on what network?","['""Human Error"" is the twenty-fourth episode and season finale of the third season of ""House"" and the seventieth episode overall.', 'House (also called House, M.D.) is an American television medical drama that originally ran on the Fox network for eight seasons, from November 16, 2004 to May 21, 2012.']"
Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,"[' Chang was born when Korea was still under Japanese colonial rule.', 'Korea under Japanese rule began with the end of the short-lived Korean Empire in 1910 and ended at the conclusion of World War II in 1945.']"
What actor in the film D.C. Cab also had a role in the TV series Barney Miller?,"['D.C. Cab (also known as Street Fight) is a 1983 American comedy film, starring Max Gail, Adam Baldwin, Mr. T, Charlie Barnett, Gary Busey, Marsha Warfield, and Whitman Mayo.', ' He most notably portrayed the role of Detective Stan ""Wojo"" Wojciehowicz on the television sitcom ""Barney Miller"".']"
The Bass Rock Lighthouse was next to what Castle?,"['Canty Bay is a coastal hamlet off the A198, in East Lothian, Scotland, situated opposite the Bass Rock and Tantallon Castle.', ' The Bass Rock Lighthouse was constructed on the rock in 1902, and the remains of an ancient chapel survive.']"
"The largest ship in the ""Imperator"" class ocean liners had how many gross register tons?","[' Namely the ""Imperator"" (1912), the ""Vaterland"" (1913) and the largest, the ""Bismarck"" (1914).', ' At 56,551 gross register tons, she was the largest ship in the world until completion of  in 1935.']"
"The republic with the smallest population of all the members of the Council of Europe is one of few places in Europe where a species of beetle cannot be found, that wew originally described in 1809 by whom?","[' It was described by Panzer in 1809 and can be found everywhere in Europe except for Albania, Andorra, Monaco, Portugal, San Marino, Vatican City and various European islands.', ' San Marino has the smallest population of all the members of the Council of Europe.']"
The First Silesian war was fought against the King of Prussia who died in what year?,"["" It became the first in a series of three Silesian Wars fought between Frederick the Great's Prussia and Maria Theresa's Austria."", 'Frederick II (German: ""Friedrich"" ; 24 January 171217 August 1786) was King of Prussia from 1740 until 1786, the longest reign of any Hohenzollern king.']"
The Colombian airline that has been the national airline and flag carrier of Colombia since 1919 is wholly owned by a company headquartered in what country?,"['Avianca S.A. (acronym in Spanish for ""Aerovías del Continente Americano S.A. ""), Airways of the American Continent, is a Colombian airline that has been the national airline and flag carrier of Colombia since 5 December 1919, when it was initially registered under the name SCADTA.', ' It is wholly owned by Synergy Group S.A., a South American holding company established by Germán Efromovich and specializing in air transport.', ' The group is headquartered in Rio de Janeiro, Brazil.']"
The 32nd TCA Awards were hosted by a  Mexican actor best known for his roles as Fernando Mendiola in what?,"['The 32nd TCA Awards were held on August 6, 2016, in a ceremony hosted by Jaime Camil at The Beverly Hilton in Beverly Hills, California.', 'Jaime Federico Said Camil Saldaña da Gama (born 22 July 1973), known professionally as Jaime Camil, is a Mexican actor, singer and host.', ' He is best known for his roles as Fernando Mendiola in ""La Fea Mas Bella"" and Rogelio de la Vega in ""Jane the Virgin.""']"
"What is the nationality of the actor who starred as Rene Russo's husband in the 1997 movie ""Buddy""?","["" It starred Rene Russo as Mrs. Gertrude 'Trudy' Lintz and Robbie Coltrane as her husband."", 'Robbie Coltrane, OBE (born Anthony Robert McMillan; 30 March 1950) is a Scottish actor and author.']"
"Who was the drummer for the recording of ""The Man Who Sold the World"" released in the US in 1970?","[' A more rock-oriented version than the earlier album cut, this rendition marked guitarist Mick Ronson\'s and drummer Mick Woodmansey\'s studio debut with Bowie\'s band, bringing together the line-up that would shortly record ""The Man Who Sold the World"".', '""The Man Who Sold the World"" is a song written and performed by David Bowie.', ' It is the title track of his third album, which was released in the US in November 1970 and in the UK in April 1971.']"
"Which series aired first, Auction Kings or Pawn Stars?","[' The series premiered on October 26, 2010 and featured the now defunct auction house Gallery 63 in Sandy Springs, Georgia, located on Roswell Road immediately north of the Atlanta city limit.', ' The series capitalized on the success of the History Channel\'s widely successful ""Pawn Stars"".', ' The series, which became the network\'s highest rated show and the No. 2 reality show behind ""Jersey Shore"", debuted on July 26, 2009.']"
"What is the year of the event which occurred first, Vessel was released, or Debut was released?","['Vessel is the first live long-form video by Icelandic musician Björk, directed by Stéphane Sednaoui and produced by Elektra Entertainment.', ' It was released in VHS on 5 September 1994, by One Little Indian, with a DVD reissue taking place on 13 May 2003.', 'Debut is the first international solo studio album by Icelandic recording artist Björk.', ' The album was released in July 1993 on One Little Indian and Elektra Records, and was produced by Björk in collaboration with artist Nellee Hooper.']"
Fred Mundee attended the public high school that was built in what year?,"[' He played college football at the University of Notre Dame and attended South High School in Youngstown, Ohio.', 'South High School was a public high school in the city of Youngstown, Ohio, United States.', ' It was built in 1909 was closed following the 1992–1993 school year.']"
Which  American politician did Donahue replaced ,"[' Donahue replaced Kelli Ward who resigned to run for the United States Senate.', 'Kelli Ward (""née"" Kaznoski; born January 25, 1969) is an American politician and osteopathic physician.']"
"Which was released second, Charley and the Angel or Planes?","['Charley and the Angel is a 1973 Disney family/comedy film set in an unidentified small city in the 1930s Depression-era Midwestern United States and starring Fred MacMurray in one of his final film appearances and his last movie for Disney.', 'Planes is a 2013 American 3D computer-animated sports comedy film produced by DisneyToon Studios and released by Walt Disney Pictures.']"
What Category 5 hurricane cause the Sqannanoa River to flood?,"[' In September 2004, massive rains from the remnants of Hurricane Frances and Hurricane Ivan caused the Swannanoa to flood, causing major damage to the Biltmore Village section of Asheville, and to the other communities that it flows through.', ' Ivan formed in early September, and reached Category 5 strength on the Saffir-Simpson Hurricane Scale.']"
"James Clark McReynolds (February 3, 1862 – August 24, 1946) was an American lawyer and judge who served as United States Attorney General under President Woodrow Wilson and as an Associate Justice of the United States Supreme Court, he served on the Court, during the presidency of which 30th President of the United States (1923–29)?","[' He served on the Court from October 12, 1914 to his retirement on January 31, 1941, during the presidencies of Woodrow Wilson, Warren Harding, Calvin Coolidge, Herbert Hoover and Franklin Delano Roosevelt.', 'John Calvin Coolidge Jr. ( ; July 4, 1872 – January 5, 1933) was the 30th President of the United States (1923–29).']"
What year saw the founding of the baseball team where Hal McRae played from 1973-87?,"['Harold Abraham McRae ( ; born July 10, 1945) is a former left fielder in Major League Baseball who played for the Cincinnati Reds (1968, 1970–72) and Kansas City Royals (1973–87).', ' The team was founded as an expansion franchise in 1969, and has participated in four World Series, winning in 1985 and 2015, and losing in 1980 and 2014.']"
What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?,"[' The aircraft, a Boeing 777-200ER operated by Malaysia Airlines, last made voice contact with air traffic control at 01:19 MYT, 8 March (17:19 UTC, 7 March) when it was over the South China Sea, less than an hour after takeoff.', ' Commonly referred to as the ""Triple Seven"", its distinguishing features include the largest-diameter turbofan engines of any aircraft, six wheels on each main landing gear, fully circular fuselage cross-section, and a blade-shaped tail cone.']"
"Doloroso, Mississippi rests on the US highway that runs for how many miles?","[' The community rests on U.S. Route 61.', 'U.S. Route 61 (US 61) is the official designation for a United States highway that runs 1400 mi between New Orleans, Louisiana, and the city of Wyoming, Minnesota.']"
What type of vegetation does Cerastium and Pavonia have in common?,"['Cerastium is a genus of annual, winter annual, or perennial plants belonging to the family Caryophyllaceae.', 'Pavonia is a genus of flowering plants in the mallow family, Malvaceae.']"
How is Scott Speedman and Michael Corvin related?,"['Michael Corvin (in Hungarian: ""Corvin Mihály"") is a fictional character from the ""Underworld"" series.', ' He is known for playing Ben Covington in the coming-of-age drama television series ""Felicity"" and Lycan–Vampire hybrid Michael Corvin in the gothic horror–action ""Underworld"" films.']"
Where is the base of one of the three main British intelligence agencies?,"['The Government of the United Kingdom maintains intelligence agencies within several different government departments.', ' The three main agencies are the Secret Intelligence Service (MI6), the Security Service (MI5), and the Government Communications Headquarters (GCHQ).', 'The Government Communications Headquarters (GCHQ) is an intelligence and security organisation responsible for providing signals intelligence (SIGINT) and information assurance to the government and armed forces of the United Kingdom.', ' Based in ""The Doughnut"" in the suburbs of Cheltenham, GCHQ is the responsibility of the country\'s Secretary of State for Foreign and Commonwealth Affairs, but it is not a part of the Foreign Office and its director ranks as a Permanent Secretary.']"
"Canton Road Station was a planned railway station on the Kowloon Southern Link of West Rail Line, that was to run beneath a large shopping mall located where?","['Canton Road Station (Trad.', ' Chinese: 廣東道站) was a planned railway station on the Kowloon Southern Link of West Rail Line between East Tsim Sha Tsui Station and Austin Station, beneath the shopping mall, Harbour City in Tsim Sha Tsui, by replacing the existing underground car park.', 'Harbour City is a large shopping mall in Tsim Sha Tsui, Hong Kong.']"
What type of species is a Boreo-arctic Montane species found in the most northerly of the abstract five major circles of latitude as shown on maps of the Earth?,"['Carabus glabratus is a species of beetle.', 'The Arctic Circle is the most northerly of the abstract five major circles of latitude as shown on maps of the Earth.']"
Sojourners and KO Magazine share what publication format?,"['Sojourners magazine is a progressive monthly publication of the American Christian social justice organization Sojourners, which arose out of the Sojourners Community.', 'KO Magazine was a popular United States boxing magazine.']"
Who was born first George Marshall or Allan Dwan ?,"['Allan Dwan (3 April 1885 – 28 December 1981) was a pioneering Canadian-born American motion picture director, producer and screenwriter.', 'George E. Marshall (December 29, 1891 – February 17, 1975) was an American actor, screenwriter, producer, film and television director, active through the first six decades of movie history.']"
It Takes a Family is a response to this 1996 book that was published by who,"[' The title is a response to the 1996 book ""It Takes a Village"" by then-First Lady Hillary Clinton.', 'It Takes a Village: And Other Lessons Children Teach Us is a book published in 1996 by First Lady of the United States Hillary Rodham Clinton.']"
What is the meaning of Trevor Prangley's other division the fought in aside from Light Weight?,"[' He competed in the Middleweight and Light Heavyweight divisions.', 'The middleweight division in mixed martial arts refers to different weight classes:']"
 Rani Silautia is an Indian politician from a party having links with which Hindu nationalist organization ?,"['Rani Silautia is an Indian politician from the Bharatiya Janata Party and a member of the Rajasthan Legislative Assembly representing the Baseri Vidhan Sabha constituency of Rajasthan.', ' The BJP is a right-wing party, with close ideological and organisational links to the Hindu nationalist Rashtriya Swayamsevak Sangh.']"
"1979, is a song by American alternative rock band, the Smashing Pumpkins, the second single from their third studio album, was released on October 23, 1995 in the UK, is titled?","[' Released in 1996 as the second single from their third studio album, ""Mellon Collie and the Infinite Sadness"", ""1979"" was written by frontman Billy Corgan, and features loops and samples that were uncharacteristic of previous Smashing Pumpkins songs.', 'Mellon Collie and the Infinite Sadness is the third studio album by American alternative rock band The Smashing Pumpkins, released on October 23, 1995 in the United Kingdom and a day later in the United States on Virgin Records.']"
"Which close friend of George Washington, Alexander Hamilton, and Thomas Jefferson, did a scion of the Huger family of South Carolina attempt to rescue?","['Colonel Dr. Francis Kinloch Huger (September 17, 1773 – February 14, 1855), a trained physician and artillery officer, was a scion of the Huger family of South Carolina.', ' A member of the South Carolina House of Representatives and South Carolina Senate, he is best known for his leadership of a failed November 1794 attempt to rescue Lafayette from captivity during the wars surrounding the French Revolution.', 'Marie-Joseph Paul Yves Roch Gilbert du Motier, Marquis de Lafayette (] ; 6 September 1757 – 20 May 1834), in the United States often known simply as Lafayette, was a French aristocrat and military officer who fought in the American Revolutionary War.', ' A close friend of George Washington, Alexander Hamilton, and Thomas Jefferson, Lafayette was a key figure in the French Revolution of 1789 and the July Revolution of 1830.']"
What genre is The Warriors Gate?,"['""Be Right There"" is a song recorded by producers Diplo and Sleepy Tom, featuring uncredited vocals from Priscilla Renea.', ' The song was also featured in the Chinese-French action-adventure film ""The Warrior\'s Gate"".', ""The Warriors Gate (, also released as Enter The Warrior's Gate) is a 2016 Chinese-French action-adventure-fantasy film directed by and written by Luc Besson and Robert Mark Kamen."", ' It was released in China on November 18, 2016, in 2D, 3D and China Film Giant Screen 3D, and on VOD in the United States on May 5th.']"
"Which author was born first, Lorraine Hansberry or Sandra Gulland?","['Lorraine Vivian Hansberry (May 19, 1930 – January 12, 1965) was an African-American playwright and writer.', 'Sandra Gulland (born November 3, 1944) is an American-born Canadian novelist.']"
Who is the oldest of the Van Dyke family?,"[' She was the daughter of actor Jerry Van Dyke, niece of the actor Dick Van Dyke, and cousin once removed of Shane Van Dyke.', 'Jerry Van Dyke (born July 27, 1931) is an American comedian and actor, the younger brother of Dick Van Dyke.']"
"Who owns a licensed brand that seeks to engage the private sector in raising awareness and funds to help eliminate HIV/AIDS in eight African countries, who's partner is a Dutch sports and clothing company, which sells alpine sking and tennis equipment?","['Product Red, stylized as (PRODUCT), is a licensed brand owned by (RED) that seeks to engage the private sector in raising awareness and funds to help eliminate HIV/AIDS in eight African countries.', 'Head N.V. is a Dutch sports and clothing company, which sells alpine sking and tennis equipment.']"
